instance_0001,23-42-11-29-26-60-46-19-41-24-55-57-2-39-32-5,97-54-43-95-61-60-66-71-64-72,64,0.11315116099922307
instance_0002,1,10,2.0,0.0005241700000624405
instance_0003,13-32-46-62-41-29-33-1-56-72-44-66-63-4-9,61-46-39-93-28-73-70-58-16-102,62,0.12032413900033134
instance_0004,1-8-10,54-27-61-57-33-45-32-72-7-19-2-5-81-71-90-40-18-58-23,15,0.0874219789993731
instance_0005,1784-934-1674-1688-1851-826-1357-175-2132-397-446-1871-2071-328-506-708-893-901-953-1254-1435-1696-1712-1810-1849-1855-1984-2335-2416-858-159-279-1529-1221-1426-612-1441-2125-1130-541-501-1264-1811-104-1101-2055-925-1360-1764-1876-2513-781-1434-241-503-968-1321-2079-2473-238-401-432-613-777-853-1113-1192-1534-1570-1685-1860-2365-2369-2521-146-352-514-577-655-656-673-744-764-867-1177-1374-1409-1448-1460-1545-1584-1613-1717-1767-1773-1869-2007-2051-2095-2176-2275-2381-2447-2569-2561-1246-1974-940-1485-1494-1834-2066-2206-2216-2332-2386-472-483-629-819-990-1028-1089-1112-1226-1400-1528-1585-1714-1892-2049-2107-2120-2124-2343-2522-2588-122-126-135-337-450-638-668-910-996-1107-1109-1143-1149-1206-1294-1343-1411-1445-1484-1602-1663-1843-1868-2094-2287-2292-2294-2333-2338-2394-2455-2494-2550-2586-2516-212-2531-69-556-743-1777-1858-2484-2541-1466-2399-465-349-365-468-1794-2255-2397-2485-201-249-1159-1207-1253-1396-1562-1783-1988-2271-119-234-291-363-385-420-787-825-864-876-957-975-997-1398-1592-1643-1731-1733-2145-2436-2514-93-178-311-357-519-552-652-888-1036-1093-1153-1163-1208-1314-1414-1449-1500-1582-1596-1618-1993-2108-2373-2490-2510-118-494-2418-2598-880-1796-2167-2181-2613-208-232-442-803-820-1353-1366-1539-2060-2087-245-268-1096-542-1661-2312-714-1564-1607-1842-198-239-359-1178-1786-1887-2115-2117-2276-57-140-171-230-263-625-626-661-1034-1139-1278-1499-1513-1589-1788-1808-1929-1959-1992-2218-2309-2313-83-133-255-267-376-572-594-813-1121-1137-1146-1190-1346-1399-1505-1939-2205-2230-2285-2403-2412-2465-2269-42-758-1566-2067-5-1330-1361-11-691-921-1041-1046-1299-1526-1541-2057-2123-149-1115-1135-1342-1456-2215-2331-2363-2599-1742-563-774-1245-2286-2515-1309-1765-1901-596-1718-2235-753-970-1002-1474-1581-1982-455-897-1027-1056-2489-77-786-1183-2141-2185-2372-2529-9-105-142-162-321-499-675-711-984-1147-1828-1964-2137-2319-2470-2512-1037-2448-599-999-246-1018-1383-1774-2075-1092-1850-660-716-772-812-829-1692-2045-2143-2460-2534-2575-1049-1779-807-761-422-478-1816-1847-2565-223-633-1288-144-406-2164-1141-1463-1666-1723-2430-315-672-698-1344-1458-2267-2475-2041-228-2563-707-1826-783-1280-1575-332-428-508-846-1803-138-206-720-766-1248-1656-2295-2326-2439-2526-2544-2559-79-155-157-165-169-240-350-489-579-670-1230-1239-1465-1531-1628-1650-2155,56-14-112-60-99-107-96-131-120-5-153-100-23-30-147-51-81-65-46-157,1880,1.7377533230001063
instance_0006,9216-4876-1409-167-8630-933-3373-3637-4816-6517-6566-6999-614-3917-4178-6171-6955-10326-1756-1991-1996-4622-9037-9534-9802-489-2902-3101-3708-4467-5412-8532-9832-36-232-338-440-656-705-730-806-934-1268-1817-2268-2547-2933-2968-3093-3378-4379-5274-5547-5754-6538-7330-7498-7510-7724-7953-8001-8077-8472-8534-8641-8790-9217-9569-9860-10046-11-29-70-72-77-96-100-112-157-166-203-230-246-278-323-343-364-387-412-417-438-449-454-480-499-527-530-537-570-585-610-624-628-660-664-679-703-768-791-888-897-937-962-963-964-984-1013-1093-1122-1220-1231-1280-1344-1366-1411-1421-1427-1435-1441-1486-1503-1532-1539-1575-1590-1732-1749-1764-1769-1812-1837-1841-1855-1871-1954-2003-2037-2068-2096-2109-2116-2140-2151-2175-2206-2237-2272-2326-2344-2375-2402-2408-2410-2441-2524-2553-2555-2561-2581-2594-2599-2669-2679-2689-2700-2711-2720-2733-2752-2794-2796-2801-2831-2847-2852-2912-2927-2952-2961-2983-2996-3047-3076-3094-3113-3119-3137-3143-3273-3298-3345-3372-3422-3425-3439-3480-3481-3485-3560-3612-3642-3669-3677-3683-3698-3709-3717-3746-3748-3800-3818-3831-3836-3892-3936-3937-3949-4029-4034-4082-4108-4132-4136-4139-4156-4175-4194-4199-4254-4299-4326-4529-4607-4619-4623-4679-4686-4717-4751-4766-4884-4887-4914-4972-4996-5021-5058-5129-5161-5175-5209-5257-5365-5378-5415-5421-5426-5533-5543-5556-5602-5625-5627-5656-5682-5694-5704-5736-5877-5944-5992-6018-6029-6064-6067-6107-6134-6161-6175-6203-6254-6321-6327-6372-6390-6425-6471-6525-6567-6570-6590-6594-6631-6638-6650-6738-6743-6815-6907-6918-6930-6958-6969-7043-7106-7141-7162-7172-7186-7234-7371-7382-7394-7425-7545-7568-7615-7622-7636-7644-7645-7663-7668-7681-7682-7689-7701-7747-7756-7806-7868-7932-7934-7937-7981-8033-8055-8099-8115-8141-8226-8252-8265-8279-8294-8299-8391-8420-8430-8521-8716-8741-8772-8781-8794-8818-8848-8878-8912-8963-9008-9070-9076-9079-9105-9207-9218-9220-9225-9280-9304-9423-9452-9457-9475-9485-9505-9541-9558-9559-9577-9590-9604-9636-9698-9728-9755-9776-9801-9822-9857-9880-9916-10036-10098-10109-10155-10165-10226-10228-10233-10259-10272-10299-10316,172,607.0,3.4853396470007283
instance_0007,3592-3470-3993-6419-656-1165-2341-2768-3674-5632-5730-5908-7092-7807-3422-4328-4630-5286-6778-7961-8257-78-293-2243-2322-2382-4786-5975-6148-6849-7020-7078-7516-7773-8148-23-171-196-370-464-502-537-613-617-676-774-844-1168-1249-1516-1556-1584-1585-1626-1638-1700-1839-1885-1952-1966-2103-2129-2138-2209-2365-2450-2536-2706-3032-3130-3144-3236-3278-3290-3423-3434-3490-3512-3576-3808-3865-4361-4694-4789-5078-5159-5242-5533-5733-5880-6039-6373-6397-6500-6616-6646-6706-6867-6954-7133-7199-7201-7252-7381-7466-7603-7617-7678-7684-7688-7697-7742-7904-7917-8081-8088-8193-8282-8306-4341-1667-2629-3788-3961-2539-4086-6229-6126-6204-7126-245-969-1425-1736-1877-1921-1925-2493-2608-2979-3028-3156-3203-3722-3826-4175-4233-4274-4796-4820-6010-6143-6873-7514-7826-7982-8285-45-136-158-163-192-278-303-333-384-405-415-440-472-526-550-586-603-627-633-682-683-739-780-806-918-923-992-1008-1056-1069-1085-1119-1170-1181-1203-1225-1236-1238-1250-1268-1272-1278-1414-1465-1491-1548-1551-1576-1600-1654-1671-1679-1703-1732-1779-1800-1858-1923-1938-1948-1959-2005-2031-2038-2059-2078-2117-2215-2287-2311-2339-2360-2403-2416-2497-2538-2540-2603-2623-2625-2664-2710-2717-2719-2758-2806-2832-2850-2881-2978-2995-3040-3169-3211-3218-3228-3256-3262-3272-3348-3378-3465-3621-3647-3658-3699-3748-3835-3844-3883-3885-3931-3948-4014-4029-4032-4036-4051-4091-4127-4136-4174-4189-4240-4259-4324-4368-4383-4411-4438-4463-4467-4486-4545-4561-4581-4598-4605-4610-4639-4665-4689-4713-4755-4767-4814-4815-4945-4962-4992-5074-5201-5219-5225-5231-5265-5280-5323-5341-5381-5409-5414-5415-5420-5425-5459-5491-5508-5546-5652-5659-5692-5763-5812-5819-5859-5861-5940-5982-6011-6018-6070-6082-6100-6111-6120-6159-6200-6202-6218-6227-6273-6306-6346-6412-6468-6625-6629-6719-6741-6755-6803-6820-6821-6851-6894-6901-6973-7077-7127-7178-7184-7212-7270-7302-7305-7320-7359-7391-7404-7406-7655-7673-7686-7724-7737-7744-7763-7798-7805-7890-8027-8288-8294-1747-5069-8038-1277-3761-4686-235-310-1117-1387-1452-1662-2261-3239-3457-3863-3866-5638-6215-6659-7134-7468-7876-77-97-118-181-202-224-290-317-334-510-595-670-713-854-872-897-917-999-1020-1037-1045-1093-1141-1208-1256-1260-1270-1341-1356-1388-1390-1454-1457-1531-1541-1589-1595-1629-1651-1680-1733-1746-1836-1934-1946-2136-2211-2212-2225-2240-2375-2383-2384-2443-2591-2618-2647-2668-2682-2709-2722-2748-2783-2823-2839-2871-2908-2919-2927-2943-2976-3029-3073-3076-3155-3253-3447-3515-3554-3644-3704-3755-3762-3879-3977-4056-4073-4077-4108-4128-4272-4311-4317-4385-4550-4602-4616-4722-4882-4898-4903-5042-5105-5188-5200-5211-5283-5419-5478-5487-5498-5642-5650-5680-5684-5686-5699-5711-5712-5721-5755-5760-5938-6076-6081-6089-6095-6155-6167-6240-6258-6262-6351-6361-6368-6374-6400-6428-6429-6641-6695-6711-6810-6837-6882-7186-7367-7386-7398-7418-7433-7473-7544-7641-7919-7934-7965-7993-7999-8031-8055-8092-8102-8225-2055-338-4777-7171-1081-1720-1951-7478-7575-8261-138-142-1058-1777-2029-2040-2056-2180-2642-3061-3157-5138-5719-7709-15-25-94-99-112-247-256-271-281-284-311-318-339-341-342-354-378-390-395-431-531-560-568-614-661-680-707-712-770-781-790-792-802-807-869-965-1021-1064-1103-1107-1120-1131-1147-1155-1240-1242-1354-1392-1502-1534-1590-1601-1612-1653-1772-1827-1897-1900-1976-1990-2012-2020-2054-2101-2132-2171-2181-2219-2239-2272-2290-2304-2318-2333-2395-2438-2442-2480-2482-2516-2546-2548-2587-2641-2693-2733-2740-2773-2775-2779-2804-2874-2934-2966-2977-3043-3056-3137-3340-3350-3572-3606-3609-3634-3642-3712-3825-3833-3870-4004-4019-4134-4230-4245-4389-4397-4398-4406-4440-4509-4573-4625-4696-4745-4905-4940-4963-5028-5062-5085-5086-5202-5303-5330-5423-5431-5480-5497-5594-5605-5683-5741-5782-5799-5829-5856-5968-6043-6083-6152-6249-6286-6288-6307-6328-6416-6423-6473-6557-6590-6595-6631-6633-6673-6700-6756-6796-6835-6843-6932-6965-7112-7173-7243-7245-7259-7269-7274-7282-7353-7438-7445-7522-7668-7779-7780-7806-7923-8002-8026-8028-8067-8098-8127-8132-8147-8157-8170-8201-8227-8277-8283-8313-250-7547-6040-359-1248-3402-4621-5318-5357-7377-7882-93-191-217-272-292-340-356-430-490-498-512-533-565-611-630-668-678-705-737-745-755-768-811-845-967-998-1011-1090-1091-1243-1246-1339-1367-1370-1416-1554-1677-1705-1775-1804-1806-1880-1956-1961-2090-2110-2237-2247-2320-2335-2356-2376-2404-2407-2435-2514-2590-2597-2605-2756-2777-2778-2830-3026-3082-3103-3138-3140-3231-3250-3260-3282-3299-3305-3346-3358-3368-3397-3409-3424-3426-3550-3589-3614-3723-3816-4066-4111-4151-4181-4247-4279-4295-4323-4325-4413-4418-4426-4448-4460-4487-4497-4584-4640-4653-4656-4676-4697-4866-4878-4912-4936-5132-5165-5175-5186-5199-5256-5259-5262-5309-5340-5369-5455-5489-5515-5601-5740-5857-5921-5962-6013-6026-6047-6075-6099-6105-6114-6163-6192-6208-6260-6281-6294-6314-6362-6450-6507-6521-6549-6603-6618-6652-6678-6698-6712-6768-6829-6889-6957-6966-6993-6996-7046-7068-7070-7105-7123-7132-7139-7154-7197-7238-7331-7388-7395-7458-7620-7623-7738-7772-7835-7874-7983-8030-8117-8181-8189-8205-8256-8276-8291-8308-2761-3666-7003-188-223-273-323-412-450-491-654-797-915-1274-1305-1317-1320-1375-1383-1431-1462-2006-2178-2275-2342-2406-2473-2694-2887-3093-3119-3189-3257-3819-4001-4010-4047-4058-4069-4216-4243-4504-4655-4658-4680-4803-5093-5108-5112-5130-5148-5454-5555-5872-5917-5991-6053-6102-6149-6310-6371-6387-6497-6553-6554-6577-6609-6636-6716-7156-7469-7520-7541-7621-7643-7734-7819-8243-7109-3418-4165-393-3700-4022-7349-945-2057-2936-3901-4197-5941-6767-1029-1096-2363-3442-3811-4888-7704-233-326-563-1417-1673-1807-3181-3207-3792-4196-4756-6071-6193-6783-6884-7031-7659-7741-7846-8152-8174-0-27-51-71-89-121-134-141-143-149-162-185-211-230-352-376-447-483-496-514-516-519-580-587-610-631-632-634-635-637-701-726-735-744-801-821-839-846-856-901-924-991-1000-1030-1036-1041-1074-1138-1156-1161-1172-1175-1228-1233-1275-1291-1323-1456-1483-1571-1684-1738-1755-1764-1765-1791-1809-1879-1888-1935-1942-1971-1994-2015-2030-2032-2046-2061-2185-2186-2264-2279-2305-2352-2379-2487-2494-2499-2512-2524-2558-2568-2576-2607-2611-2619-2656-2669-2674-2680-2721-2735-2762-2799-2869-2982-3002-3092-3133-3177-3209-3216-3263-3356-3472-3501-3504-3525-3537-3540-3726-3729-3769-3781-3838-3854-3887-3890-3910-3923-3957-3959-3973-4049-4100-4123-4188-4215-4266-4301-4375-4416-4428-4456-4495-4511-4580-4647-4659-4671-4700-4715-4728-4731-4747-4816-4922-4943-4953-4969-4979-5008-5097-5111-5141-5258-5312-5320-5337-5348-5385-5396-5400-5411-5463-5500-5512-5568-5591-5615-5630-5640-5682-5778-5785-5786-5789-5867-5907-5966-5972-5974-6023-6037-6062-6142-6151-6222-6241-6245-6311-6363-6436-6458-6655-6752-6779-6784-6817-6830-6836-6844-6924-6953-6967-6992-7005-7033-7143-7338-7407-7413-7446-7564-7642-7648-7666-7689-7746-7782-7788-7866-7892-7916-7931-7955-7959-7966-8012-8014-8049-8057-8076-8093-8116-8118-8139-8177-8184-8255-8264-8304-8305-1065-32-4484-5207-7545-383-849-1209-2394-4454-4535-6941-6976-7567-1009-1303-2866-3276-3517-4546-4738-5011-5429-6316-6610-34-42-263-270-296-297-347-445-473-521-643-699-719-733-747-812-876-971-1079-1094-1105-1151-1166-1251-1259-1307-1348-1443-1468-1473-1474-1549-1581-1587-1646-1647-1655-1695-1785-1811-1870-1927-1978-1982-1984-1988-1999-2010-2174-2224-2242-2278-2288-2296-2299-2370-2418-2468-2586-2595-2670-2683-2819-2890-2912-3058-3091-3183-3212-3217-3265-3279-3280-3283-3363-3394-3420-3448-3474-3494-3499-3509-3624-3641-3660-3676-3689-3728-3785-3791-3864-3926-3934-3950-3994-3999-4020-4052-4068-4116-4147-4172-4179-4232-4302-4374-4400-4412-4417-4452-4482-4543-4572-4575-4720-4746-4869-4952-4964-5007-5040-5060-5076-5161-5275-5284-5296-5327-5339-5353-5373-5399-5404-5405-5443-5452-5553-5559-5561-5612-5641-5656-5695-5745-5768-5791-5835-5893-5930-5950-6028-6046-6198-6257-6259-6390-6413-6439-6482-6519-6543-6814-6838-6856-6876-6878-6913-6942-6945-6955-6959-7104-7203-7204-7222-7239-7277-7319-7385-7449-7489-7524-7552-7556-7580-7665-7679-7758-7786-7820-7905-7986-7989-7996-8001-8035-8039-8137-8236-8293-2903-8228-3464-1813-2014-1619-2003-3286-4065-6572-6635-7409-7723-261-718-912-1261-1311-1496-2063-2357-2615-3519-4194-5049-5066-5103-6177-6490-6771-6870-7175-7262-7323-7814-8043-24-110-194-254-269-427-436-467-493-497-554-555-600-688-761-827-909-916-988-1018-1026-1033-1176-1214-1244-1269-1327-1389-1455-1470-1510-1533-1550-1615-1778-1803-1820-1835-1842-1871-1878-1919-2024-2074-2075-2085-2104-2145-2159-2167-2168-2172-2282-2285-2295-2332-2392-2413-2419-2422-2456-2483-2544-2613-2617-2700-2781-2896-2910-2960-2993-3021-3182-3204-3247-3319-3332-3345-3385-3452-3462-3497-3518-3531-3563-3663-3738-3767-3771-3786-3799-3837-3858-3889-3925-3933-3944-3958-3984-3989-4062-4079-4213-4348-4473-4516-4528-4551-4585-4611-4614-4741-4744-4761-4791-4808-4836-4885-4892-5191-5238-5245-5261-5356-5392-5413-5466-5519-5576-5585-5631-5697-5753-5787-5811-5813-5834-5887-5935-5956-6112-6113-6140-6180-6277-6330-6449-6464-6475-6495-6627-6737-6790-6909-6928-6929-7026-7058-7061-7125-7190-7208-7213-7284-7318-7378-7389-7430-7453-7463-7508-7577-7593-7602-7612-7663-7677-7729-7753-7847-7901-7925-7935-7944-7946-7960-7973-8020-8041-8042-8056-8110-8207-8254-8272,122-143-3-137-9-162-90-16-22,258.55555555555554,2.174253305000093
instance_0008,787-1036-138-2001-1234-2034-1945-1127-2104-574-1065-1308-508-1132-1147-1257-1740-120-509-1000-1083-471-776-901-928-1060-1901-2164-2166-1084-1739-1219-1379-1521-828-852-1454-1768-360-506-627-871-877-940-1390-1592-1951-1980-1995-29-8-1708-430-178-1467-1788-225-344-498-502-519-558-753-893-1038-1203-201-743-15-81-273-597-715-231-814-1369-1466-1589-284-287-555-1517-1757-1918-1984-944-850-963-1911-76-2183-1773-7-1728-12-251-682-793-1033-1277-37-206-804-847-2111-967-1662-1855-1403-770-2102-1096-250-356-661-1839-200-323-714-97-777-320-382-512-580-1506-1729-2143-14-56-72-234-380-475-592-1171-1447-1519-33-95-833-1273-1432-1438-1584-1793-1803-1850-2046-1425-630-713-1719-642-937-1024-1078-1080-1081-1381-1738-1990-1965-1345-1542-2167-58-456-1873-1360-1811-535-63-165-1869-77-2002-772-599-1495-297-628-1933-1668-1690-60-946-1812-1396-1115-614-936-1575-1658-392-1573-2092-62-860-958-1597-1917-185-1849-371-1304-1072-1831-1866-1500-805-2071-2124-1502-2154-151-1462-1539-1710-2-268-1175-1215-716-1168,47-163-44-114-111-138-150-81-84-134-99-158-59,101.46153846153847,1.315723543999411
instance_0009,68-1-2-19-17-23-3-15-43-45-42-38-33-9-5,105-235-31-69-32-88-180-142-70-203-77-280-269-262-80-135-124-87-201-97-195-296-186-104-222-45-287-66-52-303-176-279-36-278-146-165-206-37-119-115-75-40-258-150-49-244-283-178-252-50-79,72,0.0842647190002026
instance_0010,463-1186-95-1565-517-154-1344-236-1077-1131-1315-215-1586-402-1033-657-43-1197-235-269-243-1409-39-372-787-818-1313-652-129-880-1452-439-869-530-691-1074-512-149-905-1219-1327-254-848-552-366-1577-852-246-931-1456-191-653-276-283-734-1474-612-1411-260-218-542-689-784-1489-480-1326-185-12-1532-332-1113-893-299-1469-17-1094-1465-238-1320-1267-1438-729-1487-221-983-1400-1162-841-1362-562-1276-882-1149-843-976-296-835-1523-320-1111-1360-258-1137-1294-1306-1415-470-1226-450-1325-1304-1001-1296-1317-472-701-1590-270-76-855-1019-1355-355-638-984-1102-263-321-434-970-2-116-586-985-1422-772-783-1221-1480-523-908-1048-1229-1478-718-277-606-91-362-782-1378-354-575-721-347-487-1180-962-982-1174-690-80-1040-224-700-961-1047-1135-1285-56-455-282-546-641-685-1067-1505-32-1041-1323-1418-1310-1053-58-499-795-451-1345-305-723-1410-997-932-61-589-1231-51-626-812-401-1347-226-468-604-1334-1498-1029-1200-266-397-1090-1260-1269,380-167-42-28-221-179-231-18-202-44-349-184-12-77-226-104-215-101-259-137-325-203-278-275-100-0-373-340-366-338-135-248-45-374-379-89-368-334-22-50-372-33-140-110-155-152-15-359-285-105-16-354-56-185-25-170-165-10-173-46-127-78-309-36-161-326-322-7-97-191-270-48-212-68-175-241-67-111,590,0.9046350990001883
